CATEGORY,NAME,DISCOUNT,REDEMPTION,WEBSITE,LOGO
SERVICES,1800Flowers.com,20%,With the Student Advantage Card,http://www.1800flowers.com,1800flowers.jpg
SERVICES,24 Hour Fitness , __,None,http://www.24hourfitness.com/,24hourfitness.jpeg
FASHION,Alex & Ani,10%,Students with ID  off in-store purchases of non-sale items ,https://www.alexandani.com/,alexandani.jpg
ENTERTAINMENT,Amazon Student,0%,off Amazon Prime service  which includes streaming video and unlimited two-day shipping  after a six-month free trial. They also get exclusive offers and discounts and eligibility for sweepstakes and contests.,http://www.amazon.com/,amazon.png
ENTERTAINMENT,AMC Theaters , __,With valid student ID,https://www.amctheatres.com/,amc.jpg
FASHION,Ann Taylor,15%,full-price purchase both in-store and online,http://www.anntaylor.com/,anntaylor.png
TECH,Apple ,5%,Most purchases,http://store.apple.com/us/browse/campaigns/education_pricing?afid=p219%7CMSUS&cid=AOS-US-KWM-BTS11,apple.png
FASHION,Banana Republic,15%,With valid student ID  in store,http://www.bananarepublic.com/,bananarepublic.jpeg
SERVICES,Blick Art Materials ,10%,With valid student ID  on full-price  in-stock supplies ,http://www.dickblick.com/,blickart.jpg
FOOD,Brazillia Cafe ,15%,With valid student ID,http://www.braziliacafe.com/,braziliacafe.jpeg
ENTERTAINMENT,Carnegie Hall, __,$10 student rush tickets  which are available on a first-come first-served basis to those with a student ID as soon as they're announced. ,http://www.carnegiehall.org/,carnegiehall.png
FOOD,Chipotle , __,With valid student ID  most locations  free drink with purchase ,http://chipotle.com/,chipotle.png
ENTERTAINMENT,Cinemark , __,With valid student ID,http://www.cinemark.com/,cinemark.png
FASHION,Club Monaco,20%,Both full-priced and sale items are 20% off with your valid college ID. If you're shopping online  submit your email to receive a code.,http://www.clubmonaco.com/home/index.jsp,clubmonaco.png
FASHION,Eastern Mountain Sports,15%,with a valid student ID   in-store (20% off EMS branded merchandise) ,http://www.ems.com/,easternmountainsports.png
FOOD,Famiglia Pizza ,10%,With valid student ID,http://famousfamiglia.com/,famigliapizza.jpeg
SERVICES,FedEx,20%,With valid student ID,http://www.fedex.com,fedex.png
FOOD,Garden of Eden ,10%,With valid student ID,http://edengourmet.com/,gardenofeden.jpeg
SERVICES,IL Girasole Nails ,5%,With valid student ID,http://www.ilgirasolespa.com/,ilgirasole.png
FASHION,J.Crew,15%,With valid student ID  in store,Http://www.jcrew.com,jcrew.png
FASHION,Levi's,15%,With valid student ID; Register to receive  for online purchases too,http://www.levi.com/US/en_US/,levis.png
FASHION,Madewell ,15%,With valid student ID  in store,http://www.madewell.com,madwell.png
FOOD,Madman Espresso ,10%,With valid student ID,http://www.madmanespresso.com/,madmanespresso.jpeg
FOOD,McDonald's,10%,With valid student ID,http://www.mcdonalds.com/us/en/home.html,mcdonalds.png
ENTERTAINMENT,MOMA PS1 , __,The recommended admission for students 16 and older discounted to $5.,http://momaps1.org/,momaps1.gif
FASHION,Original Penguin,10%,None,http://www.originalpenguin.com/,originalpenguin.png
FOOD,Papaya King,15%,With valid student ID,http://www.papayaking.com/,papayaking.jpg
FOOD,Qdoba, __,$5  burrito meals.,https://www.qdoba.com/,qdoba.jpg
FASHION,Steve Madden ,10%,With valid student ID  in August ,http://www.stevemadden.com/,stevemadden.png
FOOD,Subway ,10%,With valid student ID  at participating Subway locations ,http://www.subway.com,subway.png
FOOD,The Bean,10%,With valid student ID,http://thebeannyc.com/,thebean.png
ENTERTAINMENT,The Economist, __,A weekly student subscription is $1.88 per week (a regular subscription is $2.74) and includes a weekly delivery in print  full access to Economist.com  and full access to The Economist apps. Order your subscription online,https://subscriptions.economist.com/GLB/ECOM/NA/?absplitsrc=/GLB/ECOM&abrnd=5473950657acb&country=US,economist.png
FASHION,The Limited,15%,With valid student ID  in store,http://www.thelimited.com/,thelimited.jpg
ENTERTAINMENT,The Met , __,Recommended student admission to the museum is already reduced to $12  but students of New York City Public Schools  Columbia University  the Institute of Fine Arts at NYU  Bard Graduate Center and Barnard College all get free admission with a school ID.,http://www.metmuseum.org/,themet.jpeg
ENTERTAINMENT,The Wall Street Journal,,Pay only $1 per week for 15 weeks for access to the Wall Street Journal.,http://www.wsjstudent.com/,wallstreetjournal.png
FASHION,Toms , __,Students can get free shipping on all orders with Toms Shoes,http://www.toms.com/,toms.png
FASHION,TopShop,10%,With valid student ID,http://us.topshop.com/?geoip=home,topshop.png
FOOD,Wayside ,20%,With valid student ID,http://waysidenyc.com/,wayside.jpg
SERVICES,Yoga Vida,20%,With valid student ID,http://yogavida.com/,yogavida.png